,disease_name,n_people,pct_of_med_users
1,Essential (primary) hypertension,2774,41.8
2,Pure hypercholesterolemia,1892,28.5
3,Type 2 diabetes mellitus,1088,16.4
4,Gastro-esophageal reflux disease,703,10.6
5,"Anxiety disorder, unspecified",702,10.6
6,"Major depressive disorder, single episode, unspecified",695,10.5
7,"Hypothyroidism, unspecified",582,8.8
8,Asthma,443,6.7
9,Dorsalgia,399,6.0
10,"Edema, unspecified",370,5.6
11,Insomnia,336,5.1
12,"Neuralgia and neuritis, unspecified",304,4.6
13,Elevated blood glucose level,297,4.5
14,Attention-deficit hyperactivity disorders,276,4.2
15,Functional dyspepsia,270,4.1
16,Prevent blood clots,239,3.6
17,Prevent heart attack/myocardial infarction,236,3.6
18,Long term (current) use of hormonal contraceptives,217,3.3
19,"Allergy, unspecified",213,3.2
20,Pain in joint,206,3.1
21,"Allergic rhinitis, unspecified",203,3.1
22,Enlarged prostate,198,3.0
23,"Sleep disorder, unspecified",170,2.6
24,Myalgia,169,2.5
25,"Heart failure, unspecified",150,2.3
26,"Chronic obstructive pulmonary disease, unspecified",147,2.2
27,Migraine,142,2.1
28,"Osteoarthritis, unspecified site",138,2.1
29,"Heart disease, unspecified",136,2.0
30,Glaucoma,135,2.0
31,Hypokalemia,134,2.0
32,"Cardiac arrhythmia, unspecified",131,2.0
33,Heartburn,124,1.9
34,"Otitis media, unspecified",119,1.8
35,Muscle spasm,119,1.8
36,Epilepsy and recurrent seizures,111,1.7
37,Cough,108,1.6
38,Wheezing,107,1.6
39,"Rheumatoid arthritis, unspecified",107,1.6
40,Nasal congestion,104,1.6
41,Unspecified atrial fibrillation and atrial flutter,102,1.5
42,Unspecified mood [affective] disorder,99,1.5
43,"Bipolar disorder, unspecified",96,1.4
44,Unspecified injury,94,1.4
45,Chronic gout,90,1.4
46,Other seasonal allergic rhinitis,87,1.3
47,"Chest pain, unspecified",83,1.2
48,Unspecified chronic bronchitis,83,1.2
49,Nausea and vomiting,82,1.2
50,Osteoporosis without current pathological fracture,80,1.2
51,"Excessive, frequent and irregular menstruation",80,1.2
52,"Pain, unspecified",77,1.2
53,Other symptoms and signs involving cognitive functions and awareness,77,1.2
54,Abnormalities of heart beat,77,1.2
55,Acne,77,1.2
56,Prevent stroke,76,1.1
57,Restless legs syndrome,75,1.1
58,Headache,73,1.1
59,Fibromyalgia,72,1.1
60,Polyuria,72,1.1
61,Constipation,70,1.1
62,Long term (current) use of anticoagulants and antithrombotics/antiplatelets,65,1.0
63,Other arthritis,62,0.9
64,"Disorder of thyroid, unspecified",61,0.9
65,Unspecified abnormalities of breathing,60,0.9
66,Pure hyperglyceridemia,59,0.9
67,Overactive bladder,57,0.9
68,"Atopic dermatitis, unspecified",56,0.8
69,"Pain in limb, hand, foot, fingers and toes",56,0.8
70,Prevent high cholesterol,54,0.8
71,Shortness of breath,51,0.8
72,Acute pharyngitis,51,0.8
73,Periapical abscess without sinus,49,0.7
74,Abdominal and pelvic pain,49,0.7
75,"Acute sinusitis, unspecified",49,0.7
76,Menopausal and other perimenopausal disorders,49,0.7
77,Hormone replacement therapy,49,0.7
78,Pain and other conditions associated with female genital organs and menstrual cycle,48,0.7
79,"Local infection of the skin and subcutaneous tissue, unspecified",48,0.7
80,"Urinary tract infection, site not specified",48,0.7
81,Overweight and obesity,47,0.7
82,"Angina pectoris, unspecified",47,0.7
83,Dizziness and giddiness,45,0.7
