code,code and name
SEQN,SEQN - Respondent sequence number
MCQ010,MCQ010 - Ever been told you have asthma
MCQ025,MCQ025 - Age when first had asthma
MCQ035,MCQ035 - Still have asthma
MCQ040,MCQ040 - Had asthma attack in past year
MCQ050,MCQ050 - Emergency care visit for asthma/past yr
AGQ030,AGQ030 - Did SP have episode of hay fever/past yr
MCQ053,MCQ053 - Taking treatment for anemia/past 3 mos
MCQ080,MCQ080 - Doctor ever said you were overweight
MCQ092,MCQ092 - Ever receive blood transfusion
MCD093,MCD093 - Year receive blood transfusion
MCQ149,MCQ149 - Menstrual periods started yet?
MCQ151,MCQ151 - Age in years at first menstrual period
MCQ160a,MCQ160a - Doctor ever said you had arthritis
MCQ195,MCQ195 - Which type of arthritis was it?
MCQ160b,MCQ160b - Ever told had congestive heart failure
MCD180b,MCD180b - Age when told you had heart failure
MCQ160c,MCQ160c - Ever told you had coronary heart disease
MCD180c,MCD180c - Age when told had coronary heart disease
MCQ160d,MCQ160d - Ever told you had angina/angina pectoris
MCD180d,MCD180d - Age when told you had angina pectoris
MCQ160e,MCQ160e - Ever told you had heart attack
MCD180e,MCD180e - Age when told you had heart attack
MCQ160f,MCQ160f - Ever told you had a stroke
MCD180F,MCD180F - Age when told you had a stroke
MCQ160m,MCQ160m - Ever told you had thyroid problem
MCQ170m,MCQ170m - Do you still have thyroid problem
MCD180M,MCD180M - Age when told you had thyroid problem
MCQ160p,"MCQ160p - Ever told you had COPD, emphysema, ChB"
MCQ160l,MCQ160l - Ever told you had any liver condition
MCQ170l,MCQ170l - Do you still have a liver condition
MCD180l,MCD180l - Age when told you had a liver condition
MCQ500,MCQ500 - Ever told you had any liver condition
MCQ510a,MCQ510a - Liver condition: Fatty liver
MCQ510b,MCQ510b - Liver condition: Liver fibrosis
MCQ510c,MCQ510c - Liver condition: Liver cirrhosis
MCQ510d,MCQ510d - Liver condition: Viral hepatitis
MCQ510e,MCQ510e - Liver condition: Autoimmune hepatitis
MCQ510f,MCQ510f - Liver condition: Other liver disease
MCQ520,MCQ520 - Abdominal pain during past 12 months?
MCQ530,MCQ530 - Where was the most uncomfortable pain
MCQ540,MCQ540 - Ever seen a DR about this pain
MCQ550,MCQ550 - Has DR ever said you have gallstones
MCQ560,MCQ560 - Ever had gallbladder surgery?
MCQ570,MCQ570 - Age when 1st had gallbladder surgery?
MCQ220,MCQ220 - Ever told you had cancer or malignancy
MCQ230a,MCQ230a - 1st cancer - what kind was it?
MCQ230b,MCQ230b - 2nd cancer - what kind was it?
MCQ230c,MCQ230c - 3rd cancer - what kind was it?
MCQ230d,MCQ230d - More than 3 kinds of cancer
MCQ300b,MCQ300b - Close relative had asthma?
MCQ300c,MCQ300c - Close relative had diabetes?
MCQ300a,MCQ300a - Close relative had heart attack?
MCQ366a,MCQ366a - Doctor told you to control/lose weight
MCQ366b,MCQ366b - Doctor told you to exercise
MCQ366c,MCQ366c - Doctor told you to reduce salt in diet
MCQ366d,MCQ366d - Doctor told you to reduce fat/calories
MCQ371a,MCQ371a - Are you now controlling or losing weight
MCQ371b,MCQ371b - Are you now increasing exercise
MCQ371c,MCQ371c - Are you now reducing salt in diet
MCQ371d,MCQ371d - Are you now reducing fat in diet
